Ticker,Interval,LAST PEAK DATE,LAST PEAK PRICE,LAST PEAK MACD,RECENT PRICE DATE,RECENT PRICE,RECENT MACD,PRICE CHANGE,PERCENTAGE CHANGE,SHORT %,Evaluation,MACD-Price Evaluation,EVALUATION
USDJPY,15m,2024-09-03 03:15:00,146.719,-0.0260343,2024-09-03 05:00:00,146.497,-0.031276,-0.222,-0.15%,49.0,-1.0,0.0,-1.0
USDJPY,60m,2024-09-03 01:00:00,147.121,-0.0390462,2024-09-03 05:00:00,146.496,-0.0965295,-0.625,-0.42%,49.0,-1.0,14.0,13.0
USDJPY,90m,2024-08-29 13:30:00,145.363,0.0557052,2024-09-03 04:30:00,146.496,-0.091196,1.133,0.78%,49.0,-1.0,-22.0,-23.0
EURUSD,15m,2024-09-03 03:00:00,1.1072,1.3e-06,2024-09-03 05:00:00,1.1062,-6.86e-05,-0.001,-0.09%,53.0,3.0,-10.0,-7.0
EURUSD,60m,2024-09-02 20:00:00,1.1075,0.0001785,2024-09-03 05:00:00,1.1062,-0.0001015,-0.0013,-0.12%,53.0,3.0,-14.0,-11.0
EURUSD,90m,2024-08-29 04:30:00,1.114,0.0001981,2024-09-03 04:30:00,1.1062,7.44e-05,-0.0078,-0.70%,53.0,3.0,22.0,25.0
GBPUSD,15m,2024-09-03 03:00:00,1.3146,2.97e-05,2024-09-03 05:00:00,1.313,-0.000122,-0.0016,-0.12%,90.0,40.0,0.0,40.0
GBPUSD,60m,2024-09-02 15:00:00,1.3153,0.0003663,2024-09-03 05:00:00,1.313,-0.0001044,-0.0023,-0.17%,90.0,40.0,-14.0,26.0
GBPUSD,90m,2024-09-02 19:30:00,1.3148,0.0003609,2024-09-03 04:30:00,1.313,7.98e-05,-0.0017,-0.13%,90.0,40.0,0.0,40.0
AUDUSD,15m,2024-09-03 02:45:00,0.6782,-0.0001095,2024-09-03 05:00:00,0.6745,-0.0003886,-0.0038,-0.55%,85.0,35.0,0.0,35.0
AUDUSD,60m,2024-09-02 18:00:00,0.6795,0.0003012,2024-09-03 05:00:00,0.6745,-0.000504,-0.005,-0.74%,85.0,35.0,0.0,35.0
AUDUSD,90m,2024-09-02 18:00:00,0.6796,0.0003049,2024-09-03 04:30:00,0.6745,-0.0003239,-0.0051,-0.76%,85.0,35.0,0.0,35.0
USDCAD,15m,2024-09-03 02:30:00,1.3504,7.47e-05,2024-09-03 05:00:00,1.3521,0.0002086,0.0017,0.12%,11.0,-39.0,0.0,-39.0
USDCAD,60m,2024-09-02 14:00:00,1.3501,-1.74e-05,2024-09-03 05:00:00,1.3521,0.0002692,0.002,0.15%,11.0,-39.0,14.0,-25.0
USDCAD,90m,2024-08-30 16:30:00,1.3502,0.0001433,2024-09-03 04:30:00,1.3521,0.0002126,0.0019,0.14%,11.0,-39.0,0.0,-39.0
