Ticker,Interval,LAST PEAK DATE,LAST PEAK PRICE,LAST PEAK MACD,RECENT PRICE DATE,RECENT PRICE,RECENT MACD,PRICE CHANGE,PERCENTAGE CHANGE,SHORT %,Evaluation,MACD-Price Evaluation,EVALUATION
USDJPY,15m,2024-09-05 15:30:00,144.188,0.0857072,2024-09-05 17:15:00,143.429,-0.004398,-0.759,-0.53%,37.0,-13.0,-10.0,-23.0
USDJPY,60m,2024-09-05 15:00:00,143.912,0.069058,2024-09-05 17:00:00,143.429,0.0636508,-0.483,-0.34%,37.0,-13.0,0.0,-13.0
USDJPY,90m,2024-09-02 15:00:00,147.011,0.0646884,2024-09-05 16:30:00,143.429,0.0495433,-3.582,-2.44%,37.0,-13.0,44.0,31.0
EURUSD,15m,2024-09-05 14:30:00,1.111,-1.98e-05,2024-09-05 17:15:00,1.1101,5.6e-06,-0.0009,-0.08%,72.0,22.0,0.0,22.0
EURUSD,60m,2024-09-05 14:00:00,1.111,0.0001097,2024-09-05 17:00:00,1.1101,-2.64e-05,-0.0009,-0.08%,72.0,22.0,0.0,22.0
EURUSD,90m,2024-09-05 12:00:00,1.1117,0.0003272,2024-09-05 16:30:00,1.1101,8.98e-05,-0.0016,-0.14%,72.0,22.0,0.0,22.0
GBPUSD,15m,2024-09-05 14:15:00,1.3176,1.59e-05,2024-09-05 17:15:00,1.3166,-6.66e-05,-0.001,-0.08%,90.0,40.0,0.0,40.0
GBPUSD,60m,2024-09-05 14:00:00,1.3175,0.0001206,2024-09-05 17:00:00,1.3166,8.2e-06,-0.0009,-0.07%,90.0,40.0,0.0,40.0
GBPUSD,90m,2024-09-05 12:00:00,1.3179,0.0003359,2024-09-05 16:30:00,1.3166,0.0001362,-0.0013,-0.10%,90.0,40.0,0.0,40.0
AUDUSD,15m,2024-09-05 14:45:00,0.6741,0.0001153,2024-09-05 17:15:00,0.6731,-5.21e-05,-0.001,-0.15%,68.0,18.0,-10.0,8.0
AUDUSD,60m,2024-09-05 14:00:00,0.6741,0.0001429,2024-09-05 17:00:00,0.6731,3.88e-05,-0.001,-0.15%,68.0,18.0,0.0,18.0
AUDUSD,90m,2024-09-05 13:30:00,0.6741,0.0002947,2024-09-05 16:30:00,0.6731,0.0001671,-0.001,-0.15%,68.0,18.0,0.0,18.0
USDCAD,15m,2024-09-05 16:15:00,1.3523,8.62e-05,2024-09-05 17:15:00,1.352,5.66e-05,-0.0003,-0.03%,14.0,-36.0,0.0,-36.0
USDCAD,60m,2024-09-04 18:00:00,1.3523,-0.0004684,2024-09-05 17:00:00,1.352,0.0002047,-0.0003,-0.03%,14.0,-36.0,42.0,6.0
USDCAD,90m,2024-09-04 12:00:00,1.3558,-5.25e-05,2024-09-05 16:30:00,1.352,0.0001004,-0.0038,-0.28%,14.0,-36.0,11.0,-25.0
