Ticker,Interval,LAST PEAK DATE,LAST PEAK PRICE,LAST PEAK MACD,RECENT PRICE DATE,RECENT PRICE,RECENT MACD,PRICE CHANGE,PERCENTAGE CHANGE,SHORT %,Evaluation,MACD-Price Evaluation,EVALUATION
USDJPY,15m,2024-09-05 10:45:00,143.605,0.0132261,2024-09-05 14:15:00,143.21,-0.0367793,-0.395,-0.28%,35.0,-15.0,0.0,-15.0
USDJPY,60m,2024-09-05 08:00:00,143.609,0.0269964,2024-09-05 14:00:00,143.21,0.0257127,-0.399,-0.28%,35.0,-15.0,0.0,-15.0
USDJPY,90m,2024-09-02 15:00:00,147.011,0.0646884,2024-09-05 13:30:00,143.21,-0.0068194,-3.801,-2.59%,35.0,-15.0,44.0,29.0
EURUSD,15m,2024-09-05 13:15:00,1.1117,6.43e-05,2024-09-05 14:15:00,1.1107,-6.25e-05,-0.001,-0.09%,72.0,22.0,-20.0,2.0
EURUSD,60m,2024-09-05 11:00:00,1.1102,0.0001237,2024-09-05 14:00:00,1.1107,9.4e-05,0.0005,0.04%,72.0,22.0,-0.0,22.0
EURUSD,90m,2024-09-02 19:30:00,1.1075,0.000331,2024-09-05 13:30:00,1.1107,0.0002969,0.0032,0.29%,72.0,22.0,-0.0,22.0
GBPUSD,15m,2024-09-05 13:15:00,1.3179,6.02e-05,2024-09-05 14:15:00,1.3175,1.14e-05,-0.0003,-0.03%,90.0,40.0,0.0,40.0
GBPUSD,60m,2024-09-05 09:00:00,1.317,6.74e-05,2024-09-05 14:00:00,1.3175,0.0001228,0.0006,0.04%,90.0,40.0,0.0,40.0
GBPUSD,90m,2024-09-04 09:00:00,1.3123,0.0002407,2024-09-05 13:30:00,1.3175,0.0003356,0.0053,0.40%,90.0,40.0,-11.0,29.0
AUDUSD,15m,2024-09-05 13:15:00,0.6736,8.14e-05,2024-09-05 14:15:00,0.674,0.0001161,0.0003,0.05%,67.0,17.0,0.0,17.0
AUDUSD,60m,2024-09-05 09:00:00,0.6734,7.03e-05,2024-09-05 14:00:00,0.674,0.0001362,0.0006,0.09%,67.0,17.0,0.0,17.0
AUDUSD,90m,2024-09-04 13:30:00,0.6733,0.0004,2024-09-05 13:30:00,0.674,0.000288,0.0007,0.10%,67.0,17.0,-0.0,17.0
USDCAD,15m,2024-09-05 13:30:00,1.3521,5.99e-05,2024-09-05 14:15:00,1.3509,2e-07,-0.0011,-0.08%,14.0,-36.0,10.0,-26.0
USDCAD,60m,2024-09-04 18:00:00,1.3523,-0.0004684,2024-09-05 14:00:00,1.3509,0.0001338,-0.0014,-0.10%,14.0,-36.0,42.0,6.0
USDCAD,90m,2024-09-04 12:00:00,1.3558,-5.25e-05,2024-09-05 13:30:00,1.3509,-6.54e-05,-0.0049,-0.36%,14.0,-36.0,11.0,-25.0
