Ticker,Interval,LAST PEAK DATE,LAST PEAK PRICE,LAST PEAK MACD,RECENT PRICE DATE,RECENT PRICE,RECENT MACD,PRICE CHANGE,PERCENTAGE CHANGE,SHORT %,Evaluation,MACD-Price Evaluation,EVALUATION
USDJPY,15m,2024-09-02 04:45:00,145.946,-0.0523543,2024-09-02 07:00:00,146.117,0.0197224,0.171,0.12%,46.0,-4.0,20.0,16.0
USDJPY,60m,2024-09-02 00:00:00,146.399,0.0801956,2024-09-02 07:00:00,146.12,-0.0353925,-0.279,-0.19%,46.0,-4.0,-14.0,-18.0
USDJPY,90m,2024-08-29 13:30:00,145.363,0.0557053,2024-09-02 06:00:00,146.123,0.014617,0.76,0.52%,46.0,-4.0,-0.0,-4.0
EURUSD,15m,2024-09-02 04:15:00,1.1058,8.28e-05,2024-09-02 07:00:00,1.1058,7.88e-05,0.0,0.00%,50.0,0.0,0.0,0.0
EURUSD,60m,2024-08-30 07:00:00,1.1088,0.0002202,2024-09-02 07:00:00,1.1058,0.0001431,-0.0029,-0.27%,50.0,0.0,14.0,14.0
EURUSD,90m,2024-08-29 04:30:00,1.114,0.0001981,2024-09-02 06:00:00,1.1058,7.09e-05,-0.0081,-0.73%,50.0,0.0,22.0,22.0
GBPUSD,15m,2024-09-02 04:15:00,1.3133,3.44e-05,2024-09-02 07:00:00,1.3132,7.23e-05,-0.0001,-0.01%,89.0,39.0,0.0,39.0
GBPUSD,60m,2024-09-02 01:00:00,1.3134,-6.27e-05,2024-09-02 07:00:00,1.3132,0.0001691,-0.0002,-0.02%,89.0,39.0,0.0,39.0
GBPUSD,90m,2024-08-30 07:30:00,1.3192,0.0001862,2024-09-02 06:00:00,1.3132,-6.23e-05,-0.006,-0.45%,89.0,39.0,11.0,50.0
AUDUSD,15m,2024-09-02 06:30:00,0.6771,6.15e-05,2024-09-02 07:00:00,0.6766,5.44e-05,-0.0005,-0.08%,82.0,32.0,0.0,32.0
AUDUSD,60m,2024-09-02 01:00:00,0.6777,-8.04e-05,2024-09-02 07:00:00,0.6766,2e-05,-0.0011,-0.16%,82.0,32.0,0.0,32.0
AUDUSD,90m,2024-08-29 10:30:00,0.6823,0.0003638,2024-09-02 06:00:00,0.6766,-0.0002077,-0.0057,-0.84%,82.0,32.0,11.0,43.0
USDCAD,15m,2024-09-02 05:00:00,1.35,4.51e-05,2024-09-02 07:00:00,1.3496,-5.42e-05,-0.0005,-0.03%,10.0,-40.0,0.0,-40.0
USDCAD,60m,2024-08-30 17:00:00,1.3502,0.0001092,2024-09-02 07:00:00,1.3496,3.14e-05,-0.0006,-0.05%,10.0,-40.0,0.0,-40.0
USDCAD,90m,2024-08-30 16:30:00,1.3502,0.0001433,2024-09-02 06:00:00,1.3496,6.95e-05,-0.0006,-0.05%,10.0,-40.0,0.0,-40.0
