Ticker,Interval,LAST PEAK DATE,LAST PEAK PRICE,LAST PEAK MACD,RECENT PRICE DATE,RECENT PRICE,RECENT MACD,PRICE CHANGE,PERCENTAGE CHANGE,SHORT %,Evaluation,MACD-Price Evaluation,EVALUATION
USDJPY,15m,2024-09-04 13:15:00,145.134,0.0060012,2024-09-04 15:30:00,144.062,-0.0958708,-1.072,-0.74%,40.0,-10.0,0.0,-10.0
USDJPY,60m,2024-09-04 09:00:00,145.206,-0.0089493,2024-09-04 15:00:00,144.062,-0.0516255,-1.144,-0.79%,40.0,-10.0,14.0,4.0
USDJPY,90m,2024-09-02 15:00:00,147.011,0.064688,2024-09-04 15:00:00,144.062,-0.0972466,-2.949,-2.01%,40.0,-10.0,22.0,12.0
EURUSD,15m,2024-09-04 14:15:00,1.1058,2.74e-05,2024-09-04 15:30:00,1.1089,0.0003745,0.0031,0.28%,50.0,0.0,30.0,30.0
EURUSD,60m,2024-09-04 06:00:00,1.1061,0.0002457,2024-09-04 15:00:00,1.1089,0.0002663,0.0028,0.26%,50.0,0.0,-14.0,-14.0
EURUSD,90m,2024-09-02 19:30:00,1.1075,0.000331,2024-09-04 15:00:00,1.1089,0.0003529,0.0014,0.12%,50.0,0.0,0.0,0.0
GBPUSD,15m,2024-09-04 12:45:00,1.312,-4.45e-05,2024-09-04 15:30:00,1.3165,0.0004729,0.0045,0.34%,87.0,37.0,10.0,47.0
GBPUSD,60m,2024-09-03 21:00:00,1.3116,-2.84e-05,2024-09-04 15:00:00,1.3165,0.0005272,0.0049,0.37%,87.0,37.0,14.0,51.0
GBPUSD,90m,2024-09-04 09:00:00,1.3123,0.0002407,2024-09-04 15:00:00,1.3165,0.0005867,0.0042,0.32%,87.0,37.0,0.0,37.0
AUDUSD,15m,2024-09-04 12:15:00,0.6722,0.0001015,2024-09-04 15:30:00,0.6746,0.0002187,0.0024,0.36%,62.0,12.0,0.0,12.0
AUDUSD,60m,2024-09-02 18:00:00,0.6795,0.0003012,2024-09-04 15:00:00,0.6746,0.0006012,-0.005,-0.73%,62.0,12.0,56.0,68.0
AUDUSD,90m,2024-09-02 18:00:00,0.6796,0.0003049,2024-09-04 15:00:00,0.6746,0.0005687,-0.0051,-0.74%,62.0,12.0,33.0,45.0
USDCAD,15m,2024-09-04 13:00:00,1.3558,-2.1e-05,2024-09-04 15:30:00,1.351,-0.0005098,-0.0048,-0.35%,20.0,-30.0,0.0,-30.0
USDCAD,60m,2024-09-04 09:00:00,1.3563,-6.08e-05,2024-09-04 15:00:00,1.351,-0.0004213,-0.0053,-0.39%,20.0,-30.0,0.0,-30.0
USDCAD,90m,2024-09-04 12:00:00,1.3558,-5.25e-05,2024-09-04 15:00:00,1.351,-0.0004594,-0.0048,-0.35%,20.0,-30.0,0.0,-30.0
