Ticker,Interval,LAST PEAK DATE,LAST PEAK PRICE,LAST PEAK MACD,RECENT PRICE DATE,RECENT PRICE,RECENT MACD,PRICE CHANGE,PERCENTAGE CHANGE,SHORT %,Evaluation,MACD-Price Evaluation,EVALUATION
USDJPY,15m,2024-09-05 03:45:00,143.828,0.0477202,2024-09-05 05:30:00,143.691,0.0159587,-0.137,-0.10%,34.0,-16.0,-10.0,-26.0
USDJPY,60m,2024-09-04 09:00:00,145.206,-0.0089493,2024-09-05 05:00:00,143.691,0.0323783,-1.515,-1.04%,34.0,-16.0,28.0,12.0
USDJPY,90m,2024-09-02 15:00:00,147.011,0.0646884,2024-09-05 04:30:00,143.69,-0.0459436,-3.321,-2.26%,34.0,-16.0,22.0,6.0
EURUSD,15m,2024-09-05 03:30:00,1.1085,-2.67e-05,2024-09-05 05:30:00,1.1078,-7.46e-05,-0.0007,-0.07%,63.0,13.0,0.0,13.0
EURUSD,60m,2024-09-04 23:00:00,1.1088,0.0002009,2024-09-05 05:00:00,1.1078,-8.04e-05,-0.001,-0.09%,63.0,13.0,-14.0,-1.0
EURUSD,90m,2024-09-02 19:30:00,1.1075,0.000331,2024-09-05 04:30:00,1.1078,0.0001365,0.0002,0.02%,63.0,13.0,-0.0,13.0
GBPUSD,15m,2024-09-05 03:30:00,1.3154,6.54e-05,2024-09-05 05:30:00,1.3145,-8.46e-05,-0.001,-0.07%,89.0,39.0,0.0,39.0
GBPUSD,60m,2024-09-04 15:00:00,1.3161,0.0005051,2024-09-05 05:00:00,1.3145,-1.16e-05,-0.0016,-0.12%,89.0,39.0,-14.0,25.0
GBPUSD,90m,2024-09-04 16:30:00,1.315,0.0005653,2024-09-05 04:30:00,1.3145,0.0002215,-0.0005,-0.04%,89.0,39.0,-11.0,28.0
AUDUSD,15m,2024-09-05 03:30:00,0.673,7.44e-05,2024-09-05 05:30:00,0.6722,-6.51e-05,-0.0008,-0.12%,67.0,17.0,-10.0,7.0
AUDUSD,60m,2024-09-04 21:00:00,0.6727,0.0002142,2024-09-05 05:00:00,0.6722,6.24e-05,-0.0005,-0.08%,67.0,17.0,0.0,17.0
AUDUSD,90m,2024-09-04 13:30:00,0.6733,0.0004,2024-09-05 04:30:00,0.6722,0.0002632,-0.0011,-0.17%,67.0,17.0,0.0,17.0
USDCAD,15m,2024-09-05 02:00:00,1.3509,9.88e-05,2024-09-05 05:30:00,1.3511,7.35e-05,0.0002,0.02%,14.0,-36.0,-0.0,-36.0
USDCAD,60m,2024-09-04 18:00:00,1.3523,-0.0004684,2024-09-05 05:00:00,1.3511,-4.67e-05,-0.0012,-0.09%,14.0,-36.0,28.0,-8.0
USDCAD,90m,2024-09-04 12:00:00,1.3558,-5.25e-05,2024-09-05 04:30:00,1.3511,-0.0003479,-0.0046,-0.34%,14.0,-36.0,11.0,-25.0
