Ticker,Interval,LAST PEAK DATE,LAST PEAK PRICE,LAST PEAK MACD,RECENT PRICE DATE,RECENT PRICE,RECENT MACD,PRICE CHANGE,PERCENTAGE CHANGE,SHORT %,Evaluation,MACD-Price Evaluation,EVALUATION
USDJPY,15m,2024-09-04 08:00:00,145.003,-0.0269988,2024-09-04 10:15:00,145.236,0.0307433,0.233,0.16%,40.0,-10.0,10.0,0.0
USDJPY,60m,2024-09-04 03:00:00,145.443,-0.0164748,2024-09-04 10:00:00,145.236,0.0073557,-0.207,-0.14%,40.0,-10.0,0.0,-10.0
USDJPY,90m,2024-09-02 15:00:00,147.011,0.064688,2024-09-04 09:00:00,145.236,-0.0571909,-1.775,-1.21%,40.0,-10.0,11.0,1.0
EURUSD,15m,2024-09-04 09:30:00,1.1059,-4.34e-05,2024-09-04 10:15:00,1.1057,-6.55e-05,-0.0002,-0.02%,51.0,1.0,0.0,1.0
EURUSD,60m,2024-09-03 14:00:00,1.1066,-7.8e-05,2024-09-04 10:00:00,1.1057,0.0001344,-0.0009,-0.08%,51.0,1.0,0.0,1.0
EURUSD,90m,2024-09-02 19:30:00,1.1075,0.000331,2024-09-04 09:00:00,1.1057,0.0002113,-0.0018,-0.17%,51.0,1.0,0.0,1.0
GBPUSD,15m,2024-09-04 09:30:00,1.3124,8.95e-05,2024-09-04 10:15:00,1.3122,6.21e-05,-0.0002,-0.02%,86.0,36.0,0.0,36.0
GBPUSD,60m,2024-09-04 05:00:00,1.3119,0.0001861,2024-09-04 10:00:00,1.3122,0.0002346,0.0003,0.02%,86.0,36.0,0.0,36.0
GBPUSD,90m,2024-09-04 04:30:00,1.3119,0.000135,2024-09-04 09:00:00,1.3122,0.0002363,0.0003,0.02%,86.0,36.0,0.0,36.0
AUDUSD,15m,2024-09-04 09:15:00,0.6712,7.52e-05,2024-09-04 10:15:00,0.6709,7.4e-06,-0.0004,-0.05%,56.0,6.0,0.0,6.0
AUDUSD,60m,2024-09-02 18:00:00,0.6795,0.0003012,2024-09-04 10:00:00,0.6709,0.0002298,-0.0087,-1.27%,56.0,6.0,70.0,76.0
AUDUSD,90m,2024-09-02 18:00:00,0.6796,0.0003049,2024-09-04 09:00:00,0.6709,6.69e-05,-0.0088,-1.29%,56.0,6.0,44.0,50.0
USDCAD,15m,2024-09-04 09:45:00,1.3563,0.0002642,2024-09-04 10:15:00,1.3557,0.0002172,-0.0006,-0.04%,20.0,-30.0,0.0,-30.0
USDCAD,60m,2024-09-03 18:00:00,1.3554,0.0002081,2024-09-04 10:00:00,1.3557,-1.08e-05,0.0003,0.02%,20.0,-30.0,-14.0,-44.0
USDCAD,90m,2024-09-03 18:00:00,1.3552,0.0003555,2024-09-04 09:00:00,1.3557,-8.3e-05,0.0005,0.03%,20.0,-30.0,-11.0,-41.0
