Ticker,Interval,LAST PEAK DATE,LAST PEAK PRICE,LAST PEAK MACD,RECENT PRICE DATE,RECENT PRICE,RECENT MACD,PRICE CHANGE,PERCENTAGE CHANGE,SHORT %,Evaluation,MACD-Price Evaluation,EVALUATION
USDJPY,15m,2024-09-06 13:15:00,143.206,0.0616908,2024-09-06 13:45:00,142.926,0.0069991,-0.28,-0.20%,38.0,-12.0,-10.0,-22.0
USDJPY,60m,2024-09-05 15:00:00,143.912,0.0690581,2024-09-06 13:00:00,142.933,0.0320401,-0.979,-0.68%,38.0,-12.0,14.0,2.0
USDJPY,90m,2024-09-02 15:00:00,147.011,0.0646878,2024-09-06 13:30:00,142.922,0.0476016,-4.089,-2.78%,38.0,-12.0,44.0,32.0
EURUSD,15m,2024-09-06 13:30:00,1.1138,0.0001553,2024-09-06 13:45:00,1.1133,0.000235,-0.0005,-0.04%,76.0,26.0,10.0,36.0
EURUSD,60m,2024-09-06 07:00:00,1.1123,1.45e-05,2024-09-06 13:00:00,1.1133,-6.21e-05,0.001,0.09%,76.0,26.0,-0.0,26.0
EURUSD,90m,2024-09-02 19:30:00,1.1075,0.0003311,2024-09-06 13:30:00,1.1133,-3.75e-05,0.0058,0.52%,76.0,26.0,-22.0,4.0
GBPUSD,15m,2024-09-06 12:45:00,1.3179,6.67e-05,2024-09-06 13:45:00,1.3223,0.0005596,0.0044,0.34%,90.0,40.0,10.0,50.0
GBPUSD,60m,2024-09-06 07:00:00,1.3189,-3.5e-05,2024-09-06 13:00:00,1.3223,0.0001219,0.0034,0.26%,90.0,40.0,-14.0,26.0
GBPUSD,90m,2024-09-06 06:00:00,1.3184,-1.4e-06,2024-09-06 13:30:00,1.3223,0.000146,0.0039,0.30%,90.0,40.0,-11.0,29.0
AUDUSD,15m,2024-09-06 10:45:00,0.6742,9.71e-05,2024-09-06 13:45:00,0.6762,0.0002252,0.002,0.30%,68.0,18.0,0.0,18.0
AUDUSD,60m,2024-09-05 22:00:00,0.6744,0.000139,2024-09-06 13:00:00,0.6762,0.0001279,0.0019,0.28%,68.0,18.0,-14.0,4.0
AUDUSD,90m,2024-09-06 00:00:00,0.6744,0.0002204,2024-09-06 13:30:00,0.6762,0.0001438,0.0018,0.27%,68.0,18.0,-11.0,7.0
USDCAD,15m,2024-09-06 13:00:00,1.3496,-4e-07,2024-09-06 13:45:00,1.3491,-4.86e-05,-0.0005,-0.04%,13.0,-37.0,0.0,-37.0
USDCAD,60m,2024-09-06 09:00:00,1.3502,6.6e-06,2024-09-06 13:00:00,1.3491,-5.9e-06,-0.0011,-0.08%,13.0,-37.0,0.0,-37.0
USDCAD,90m,2024-09-05 15:00:00,1.3523,3.76e-05,2024-09-06 13:30:00,1.3491,-8.37e-05,-0.0033,-0.24%,13.0,-37.0,0.0,-37.0
