Ticker,Interval,LAST PEAK DATE,LAST PEAK PRICE,LAST PEAK MACD,RECENT PRICE DATE,RECENT PRICE,RECENT MACD,PRICE CHANGE,PERCENTAGE CHANGE,SHORT %
USDJPY,15m,2024-09-06 15:45:00,142.4300,-0.0853031,2024-09-06 17:30:00,142.5940,-0.0349954,0.1640,0.12%,34.00%
USDJPY,60m,2024-09-06 14:00:00,143.5220,0.0796971,2024-09-06 17:00:00,142.5940,-0.0074095,-0.9280,-0.65%,34.00%
USDJPY,90m,2024-09-06 13:30:00,143.5220,0.0858926,2024-09-06 16:30:00,142.5940,0.0151520,-0.9280,-0.65%,34.00%
EURUSD,15m,2024-09-06 16:15:00,1.1107,0.0000366,2024-09-06 17:30:00,1.1080,-0.0001940,-0.0027,-0.24%,75.00%
EURUSD,60m,2024-09-06 13:00:00,1.1125,-0.0001174,2024-09-06 17:00:00,1.1080,-0.0005020,-0.0044,-0.40%,75.00%
EURUSD,90m,2024-09-06 06:00:00,1.1121,0.0000461,2024-09-06 16:30:00,1.1080,-0.0004565,-0.0041,-0.37%,75.00%
GBPUSD,15m,2024-09-06 15:00:00,1.3175,-0.0001535,2024-09-06 17:30:00,1.3119,-0.0005831,-0.0056,-0.43%,90.00%
GBPUSD,60m,2024-09-06 13:00:00,1.3211,0.0000461,2024-09-06 17:00:00,1.3119,-0.0007161,-0.0092,-0.70%,90.00%
GBPUSD,90m,2024-09-06 12:00:00,1.3186,-0.0001334,2024-09-06 16:30:00,1.3119,-0.0006517,-0.0067,-0.51%,90.00%
AUDUSD,15m,2024-09-06 15:30:00,0.6710,-0.0003692,2024-09-06 17:30:00,0.6669,-0.0005173,-0.0041,-0.61%,63.00%
AUDUSD,60m,2024-09-06 13:00:00,0.6752,0.0000609,2024-09-06 17:00:00,0.6667,-0.0007789,-0.0085,-1.26%,63.00%
AUDUSD,90m,2024-09-06 00:00:00,0.6744,0.0002204,2024-09-06 16:30:00,0.6669,-0.0006668,-0.0075,-1.11%,63.00%
USDCAD,15m,2024-09-06 17:15:00,1.3573,0.0005324,2024-09-06 17:30:00,1.3567,0.0004514,-0.0006,-0.04%,14.00%
USDCAD,60m,2024-09-06 09:00:00,1.3502,0.0000066,2024-09-06 17:00:00,1.3568,0.0008470,0.0066,0.49%,14.00%
USDCAD,90m,2024-09-05 15:00:00,1.3523,0.0000376,2024-09-06 16:30:00,1.3568,0.0007143,0.0045,0.33%,14.00%
