Ticker,Interval,LAST PEAK DATE,LAST PEAK PRICE,LAST PEAK MACD,RECENT PRICE DATE,RECENT PRICE,RECENT MACD,PRICE CHANGE,PERCENTAGE CHANGE,SHORT %
USDJPY,15m,2024-09-04 01:00:00,145.5300,-0.0272383,2024-09-04 01:15:00,145.3190,-0.0247733,-0.2110,-0.14%,42.00%
USDJPY,60m,2024-09-03 18:00:00,145.8960,-0.0491414,2024-09-04 01:00:00,145.3190,-0.0494521,-0.5770,-0.40%,42.00%
USDJPY,90m,2024-09-02 15:00:00,147.0110,0.0646880,2024-09-04 00:00:00,145.3190,-0.1227402,-1.6920,-1.15%,42.00%
EURUSD,15m,2024-09-03 20:45:00,1.1045,0.0001114,2024-09-04 01:15:00,1.1051,0.0001324,0.0006,0.06%,45.00%
EURUSD,60m,2024-09-03 14:00:00,1.1066,-0.0000780,2024-09-04 01:00:00,1.1051,0.0000915,-0.0015,-0.13%,45.00%
EURUSD,90m,2024-09-02 19:30:00,1.1075,0.0003310,2024-09-04 00:00:00,1.1051,0.0000044,-0.0024,-0.22%,45.00%
GBPUSD,15m,2024-09-03 18:15:00,1.3099,-0.0000372,2024-09-04 01:15:00,1.3112,0.0001582,0.0013,0.10%,87.00%
GBPUSD,60m,2024-09-03 13:00:00,1.3130,-0.0000573,2024-09-04 01:00:00,1.3112,0.0000762,-0.0018,-0.14%,87.00%
GBPUSD,90m,2024-09-02 19:30:00,1.3148,0.0003609,2024-09-04 00:00:00,1.3112,-0.0000363,-0.0036,-0.27%,87.00%
AUDUSD,15m,2024-09-04 00:15:00,0.6718,0.0000849,2024-09-04 01:15:00,0.6710,0.0000523,-0.0008,-0.12%,67.00%
AUDUSD,60m,2024-09-02 18:00:00,0.6795,0.0003012,2024-09-04 01:00:00,0.6710,-0.0000593,-0.0086,-1.26%,67.00%
AUDUSD,90m,2024-09-02 18:00:00,0.6796,0.0003049,2024-09-04 00:00:00,0.6710,-0.0003405,-0.0086,-1.27%,67.00%
USDCAD,15m,2024-09-03 20:30:00,1.3553,-0.0000703,2024-09-04 01:15:00,1.3546,-0.0000933,-0.0007,-0.05%,19.00%
USDCAD,60m,2024-09-03 18:00:00,1.3554,0.0002081,2024-09-04 01:00:00,1.3546,-0.0000942,-0.0008,-0.06%,19.00%
USDCAD,90m,2024-08-30 16:30:00,1.3502,0.0001433,2024-09-04 00:00:00,1.3546,0.0001347,0.0044,0.32%,19.00%
