Ticker,Interval,LAST PEAK DATE,LAST PEAK PRICE,LAST PEAK MACD,RECENT PRICE DATE,RECENT PRICE,RECENT MACD,PRICE CHANGE,PERCENTAGE CHANGE,SHORT %
USDJPY,15m,2024-09-04 08:00:00,145.0030,-0.0269988,2024-09-04 09:15:00,145.1570,0.0049689,0.1540,0.11%,41.00%
USDJPY,60m,2024-09-04 03:00:00,145.4430,-0.0164748,2024-09-04 09:00:00,145.1570,-0.0120761,-0.2860,-0.20%,41.00%
USDJPY,90m,2024-09-02 15:00:00,147.0110,0.0646880,2024-09-04 09:00:00,145.1560,-0.0622955,-1.8550,-1.26%,41.00%
EURUSD,15m,2024-09-04 08:30:00,1.1064,0.0000181,2024-09-04 09:15:00,1.1056,-0.0000610,-0.0009,-0.08%,51.00%
EURUSD,60m,2024-09-03 14:00:00,1.1066,-0.0000780,2024-09-04 09:00:00,1.1056,0.0001641,-0.0010,-0.09%,51.00%
EURUSD,90m,2024-09-02 19:30:00,1.1075,0.0003310,2024-09-04 09:00:00,1.1056,0.0002035,-0.0020,-0.18%,51.00%
GBPUSD,15m,2024-09-04 05:45:00,1.3119,0.0000848,2024-09-04 09:15:00,1.3117,0.0000235,-0.0002,-0.02%,87.00%
GBPUSD,60m,2024-09-04 05:00:00,1.3119,0.0001861,2024-09-04 09:00:00,1.3117,0.0001854,-0.0002,-0.02%,87.00%
GBPUSD,90m,2024-09-04 04:30:00,1.3119,0.0001350,2024-09-04 09:00:00,1.3117,0.0002022,-0.0002,-0.02%,87.00%
AUDUSD,15m,2024-09-04 08:45:00,0.6709,0.0000838,2024-09-04 09:15:00,0.6710,0.0000606,0.0001,0.02%,56.00%
AUDUSD,60m,2024-09-02 18:00:00,0.6795,0.0003012,2024-09-04 09:00:00,0.6710,0.0002387,-0.0085,-1.26%,56.00%
AUDUSD,90m,2024-09-02 18:00:00,0.6796,0.0003049,2024-09-04 09:00:00,0.6710,0.0000752,-0.0086,-1.27%,56.00%
USDCAD,15m,2024-09-04 09:00:00,1.3552,0.0002006,2024-09-04 09:15:00,1.3548,0.0001793,-0.0004,-0.03%,19.00%
USDCAD,60m,2024-09-03 18:00:00,1.3554,0.0002081,2024-09-04 09:00:00,1.3548,-0.0001553,-0.0006,-0.04%,19.00%
USDCAD,90m,2024-09-03 18:00:00,1.3552,0.0003555,2024-09-04 09:00:00,1.3550,-0.0001270,-0.0002,-0.02%,19.00%
