Ticker,Interval,LAST PEAK DATE,LAST PEAK PRICE,LAST PEAK MACD,RECENT PRICE DATE,RECENT PRICE,RECENT MACD,PRICE CHANGE,PERCENTAGE CHANGE,SHORT %
USDJPY,15m,2024-08-27 20:00:00,144.0590,0.0080679,2024-08-28 02:00:00,144.1500,0.0451105,0.0910,0.06%,46.00%
USDJPY,60m,2024-08-27 09:00:00,145.0590,0.0651600,2024-08-28 02:00:00,144.1460,-0.0374592,-0.9130,-0.63%,46.00%
USDJPY,90m,2024-08-27 07:30:00,144.9970,0.1126900,2024-08-28 01:30:00,144.1460,-0.0401573,-0.8510,-0.59%,46.00%
EURUSD,15m,2024-08-28 01:45:00,1.1183,-0.0001271,2024-08-28 02:00:00,1.1181,-0.0001276,-0.0002,-0.02%,89.00%
EURUSD,60m,2024-08-27 19:00:00,1.1189,0.0002011,2024-08-28 02:00:00,1.1181,0.0001241,-0.0009,-0.08%,89.00%
EURUSD,90m,2024-08-26 00:00:00,1.1202,0.0008235,2024-08-28 01:30:00,1.1181,0.0001014,-0.0021,-0.19%,89.00%
GBPUSD,15m,2024-08-27 21:00:00,1.3263,0.0000725,2024-08-28 02:00:00,1.3259,-0.0001377,-0.0004,-0.03%,93.00%
GBPUSD,60m,2024-08-27 10:00:00,1.3236,0.0003131,2024-08-28 02:00:00,1.3259,0.0002209,0.0023,0.18%,93.00%
GBPUSD,90m,2024-08-26 16:30:00,1.3199,-0.0004903,2024-08-28 01:30:00,1.3259,0.0003247,0.0060,0.46%,93.00%
AUDUSD,15m,2024-08-28 01:15:00,0.6796,-0.0000352,2024-08-28 02:00:00,0.6788,-0.0000687,-0.0007,-0.11%,88.00%
AUDUSD,60m,2024-08-27 20:00:00,0.6795,0.0001228,2024-08-28 02:00:00,0.6788,0.0000497,-0.0007,-0.10%,88.00%
AUDUSD,90m,2024-08-28 00:00:00,0.6796,0.0000712,2024-08-28 01:30:00,0.6788,0.0000288,-0.0007,-0.11%,88.00%
USDCAD,15m,2024-08-28 00:45:00,1.3447,0.0000611,2024-08-28 02:00:00,1.3446,0.0000683,-0.0001,-0.01%,11.00%
USDCAD,60m,2024-08-27 12:00:00,1.3478,0.0000675,2024-08-28 02:00:00,1.3446,-0.0000448,-0.0032,-0.23%,11.00%
USDCAD,90m,2024-08-27 12:00:00,1.3473,0.0001652,2024-08-28 01:30:00,1.3446,-0.0000131,-0.0027,-0.20%,11.00%
