Ticker,Interval,LAST PEAK DATE,LAST PEAK PRICE,LAST PEAK MACD,RECENT PRICE DATE,RECENT PRICE,RECENT MACD,PRICE CHANGE,PERCENTAGE CHANGE,SHORT %
USDJPY,15m,2024-09-06 02:30:00,143.3200,-0.0063260,2024-09-06 05:30:00,142.9320,-0.0302454,-0.3880,-0.27%,33.00%
USDJPY,60m,2024-09-05 15:00:00,143.9120,0.0690581,2024-09-06 05:00:00,142.9300,-0.0045147,-0.9820,-0.68%,33.00%
USDJPY,90m,2024-09-02 15:00:00,147.0110,0.0646878,2024-09-06 04:30:00,142.9280,0.0396461,-4.0830,-2.78%,33.00%
EURUSD,15m,2024-09-06 01:45:00,1.1116,-0.0000273,2024-09-06 05:30:00,1.1120,0.0000273,0.0004,0.03%,76.00%
EURUSD,60m,2024-09-05 11:00:00,1.1102,0.0001237,2024-09-06 05:00:00,1.1120,0.0000102,0.0017,0.16%,76.00%
EURUSD,90m,2024-09-05 12:00:00,1.1117,0.0003272,2024-09-06 04:30:00,1.1120,0.0000504,0.0002,0.02%,76.00%
GBPUSD,15m,2024-09-05 22:45:00,1.3181,0.0000141,2024-09-06 05:30:00,1.3178,-0.0000123,-0.0003,-0.03%,90.00%
GBPUSD,60m,2024-09-05 14:00:00,1.3175,0.0001206,2024-09-06 05:00:00,1.3178,-0.0000855,0.0003,0.03%,90.00%
GBPUSD,90m,2024-09-04 16:30:00,1.3150,0.0005653,2024-09-06 04:30:00,1.3178,-0.0000121,0.0028,0.21%,90.00%
AUDUSD,15m,2024-09-06 04:00:00,0.6734,-0.0001017,2024-09-06 05:30:00,0.6734,-0.0000337,0.0000,0.01%,68.00%
AUDUSD,60m,2024-09-05 22:00:00,0.6744,0.0001390,2024-09-06 05:00:00,0.6734,-0.0000953,-0.0010,-0.14%,68.00%
AUDUSD,90m,2024-09-06 00:00:00,0.6744,0.0002204,2024-09-06 04:30:00,0.6734,0.0000582,-0.0010,-0.15%,68.00%
USDCAD,15m,2024-09-06 02:00:00,1.3503,0.0000407,2024-09-06 05:30:00,1.3493,-0.0000294,-0.0010,-0.07%,14.00%
USDCAD,60m,2024-09-05 15:00:00,1.3518,0.0001601,2024-09-06 05:00:00,1.3493,-0.0000750,-0.0025,-0.18%,14.00%
USDCAD,90m,2024-09-05 15:00:00,1.3523,0.0000376,2024-09-06 04:30:00,1.3493,-0.0001133,-0.0030,-0.22%,14.00%
