Ticker,Interval,LAST PEAK DATE,LAST PEAK PRICE,LAST PEAK MACD,RECENT PRICE DATE,RECENT PRICE,RECENT MACD,PRICE CHANGE,PERCENTAGE CHANGE,SHORT %
USDJPY,15m,2024-09-02 04:45:00,145.9460,-0.0523543,2024-09-02 06:45:00,146.1460,0.0192843,0.2000,0.14%,45.00%
USDJPY,60m,2024-09-02 00:00:00,146.3990,0.0801956,2024-09-02 06:00:00,146.1460,-0.0318769,-0.2530,-0.17%,45.00%
USDJPY,90m,2024-08-29 13:30:00,145.3630,0.0557053,2024-09-02 06:00:00,146.1460,0.0160845,0.7830,0.54%,45.00%
EURUSD,15m,2024-09-02 04:15:00,1.1058,0.0000828,2024-09-02 06:45:00,1.1058,0.0000644,0.0000,0.00%,50.00%
EURUSD,60m,2024-08-30 07:00:00,1.1088,0.0002202,2024-09-02 06:00:00,1.1058,0.0001030,-0.0029,-0.27%,50.00%
EURUSD,90m,2024-08-29 04:30:00,1.1140,0.0001981,2024-09-02 06:00:00,1.1058,0.0000709,-0.0081,-0.73%,50.00%
GBPUSD,15m,2024-09-02 04:15:00,1.3133,0.0000344,2024-09-02 06:45:00,1.3132,0.0000745,-0.0000,-0.00%,89.00%
GBPUSD,60m,2024-09-02 01:00:00,1.3134,-0.0000627,2024-09-02 06:00:00,1.3132,0.0001312,-0.0002,-0.01%,89.00%
GBPUSD,90m,2024-08-30 07:30:00,1.3192,0.0001862,2024-09-02 06:00:00,1.3132,-0.0000579,-0.0059,-0.45%,89.00%
AUDUSD,15m,2024-09-02 04:15:00,0.6769,-0.0000519,2024-09-02 06:45:00,0.6771,0.0000874,0.0002,0.03%,82.00%
AUDUSD,60m,2024-09-02 01:00:00,0.6777,-0.0000804,2024-09-02 06:00:00,0.6771,0.0000265,-0.0006,-0.09%,82.00%
AUDUSD,90m,2024-08-29 10:30:00,0.6823,0.0003638,2024-09-02 06:00:00,0.6771,-0.0001767,-0.0053,-0.77%,82.00%
USDCAD,15m,2024-09-02 05:00:00,1.3500,0.0000451,2024-09-02 06:45:00,1.3494,-0.0000688,-0.0007,-0.05%,10.00%
USDCAD,60m,2024-08-30 17:00:00,1.3502,0.0001092,2024-09-02 06:00:00,1.3494,0.0000353,-0.0008,-0.06%,10.00%
USDCAD,90m,2024-08-30 16:30:00,1.3502,0.0001433,2024-09-02 06:00:00,1.3494,0.0000554,-0.0008,-0.06%,10.00%
