Ticker,Interval,LAST PEAK DATE,LAST PEAK PRICE,LAST PEAK MACD,RECENT PRICE DATE,RECENT PRICE,RECENT MACD,PRICE CHANGE,PERCENTAGE CHANGE,SHORT %
USDJPY,15m,2024-08-29 13:45:00,145.4000,0.0846265,2024-08-29 15:30:00,145.3510,0.0437446,-0.0490,-0.03%,38.00%
USDJPY,60m,2024-08-29 08:00:00,144.7280,0.0094634,2024-08-29 15:00:00,145.3510,0.0837055,0.6230,0.43%,38.00%
USDJPY,90m,2024-08-27 07:30:00,144.9970,0.1126901,2024-08-29 15:00:00,145.3510,0.0795153,0.3540,0.24%,38.00%
EURUSD,15m,2024-08-29 14:45:00,1.1085,-0.0000056,2024-08-29 15:30:00,1.1064,-0.0001810,-0.0021,-0.19%,66.00%
EURUSD,60m,2024-08-29 11:00:00,1.1101,-0.0002234,2024-08-29 15:00:00,1.1064,-0.0004783,-0.0037,-0.33%,66.00%
EURUSD,90m,2024-08-29 04:30:00,1.1140,0.0001981,2024-08-29 15:00:00,1.1064,-0.0004847,-0.0075,-0.67%,66.00%
GBPUSD,15m,2024-08-29 14:15:00,1.3164,-0.0002734,2024-08-29 15:30:00,1.3157,-0.0001346,-0.0007,-0.06%,92.00%
GBPUSD,60m,2024-08-29 08:00:00,1.3221,0.0004031,2024-08-29 15:00:00,1.3157,-0.0004525,-0.0064,-0.49%,92.00%
GBPUSD,90m,2024-08-29 06:00:00,1.3222,0.0000683,2024-08-29 15:00:00,1.3157,-0.0004767,-0.0065,-0.49%,92.00%
AUDUSD,15m,2024-08-29 13:45:00,0.6805,-0.0002363,2024-08-29 15:30:00,0.6796,-0.0002573,-0.0009,-0.13%,89.00%
AUDUSD,60m,2024-08-29 11:00:00,0.6823,0.0003243,2024-08-29 15:00:00,0.6796,-0.0001309,-0.0027,-0.40%,89.00%
AUDUSD,90m,2024-08-29 10:30:00,0.6823,0.0003638,2024-08-29 15:00:00,0.6796,0.0000044,-0.0027,-0.40%,89.00%
USDCAD,15m,2024-08-29 14:30:00,1.3485,0.0003400,2024-08-29 15:30:00,1.3480,0.0001750,-0.0005,-0.04%,8.00%
USDCAD,60m,2024-08-29 09:00:00,1.3467,-0.0001544,2024-08-29 15:00:00,1.3480,0.0001666,0.0013,0.10%,8.00%
USDCAD,90m,2024-08-28 13:30:00,1.3472,0.0004795,2024-08-29 15:00:00,1.3480,0.0001815,0.0008,0.06%,8.00%
