Ticker,Interval,LAST PEAK DATE,LAST PEAK PRICE,LAST PEAK MACD,RECENT PRICE DATE,RECENT PRICE,RECENT MACD,PRICE CHANGE,PERCENTAGE CHANGE,SHORT %
USDJPY,15m,2024-08-28 08:45:00,144.5610,-0.0099804,2024-08-28 10:15:00,144.1360,-0.0455689,-0.4250,-0.29%,50.00%
USDJPY,60m,2024-08-28 08:00:00,144.5610,0.0638934,2024-08-28 10:00:00,144.1360,0.0272984,-0.4250,-0.29%,50.00%
USDJPY,90m,2024-08-27 07:30:00,144.9970,0.1126900,2024-08-28 09:00:00,144.1360,0.0318368,-0.8610,-0.59%,50.00%
EURUSD,15m,2024-08-28 08:45:00,1.1161,0.0001383,2024-08-28 10:15:00,1.1147,0.0000091,-0.0014,-0.12%,84.00%
EURUSD,60m,2024-08-28 08:00:00,1.1161,-0.0003368,2024-08-28 10:00:00,1.1147,-0.0003845,-0.0014,-0.12%,84.00%
EURUSD,90m,2024-08-27 18:00:00,1.1189,0.0000377,2024-08-28 09:00:00,1.1147,-0.0003813,-0.0042,-0.38%,84.00%
GBPUSD,15m,2024-08-28 09:00:00,1.3240,0.0001358,2024-08-28 10:15:00,1.3237,0.0001015,-0.0002,-0.02%,93.00%
GBPUSD,60m,2024-08-27 20:00:00,1.3262,0.0004395,2024-08-28 10:00:00,1.3237,-0.0004331,-0.0025,-0.19%,93.00%
GBPUSD,90m,2024-08-27 19:30:00,1.3262,0.0004059,2024-08-28 09:00:00,1.3237,-0.0003682,-0.0025,-0.19%,93.00%
AUDUSD,15m,2024-08-28 09:45:00,0.6797,0.0000290,2024-08-28 10:15:00,0.6798,0.0000401,0.0000,0.00%,87.00%
AUDUSD,60m,2024-08-28 02:00:00,0.6802,0.0000931,2024-08-28 10:00:00,0.6798,-0.0000250,-0.0004,-0.06%,87.00%
AUDUSD,90m,2024-08-28 01:30:00,0.6802,0.0000994,2024-08-28 09:00:00,0.6798,-0.0000094,-0.0004,-0.06%,87.00%
USDCAD,15m,2024-08-28 07:00:00,1.3467,0.0001890,2024-08-28 10:15:00,1.3460,0.0000002,-0.0007,-0.05%,11.00%
USDCAD,60m,2024-08-28 06:00:00,1.3464,0.0002689,2024-08-28 10:00:00,1.3460,0.0002879,-0.0004,-0.03%,11.00%
USDCAD,90m,2024-08-27 12:00:00,1.3473,0.0001652,2024-08-28 09:00:00,1.3460,0.0003321,-0.0013,-0.10%,11.00%
