Ticker,Interval,LAST PEAK DATE,LAST PEAK PRICE,LAST PEAK MACD,RECENT PRICE DATE,RECENT PRICE,RECENT MACD,PRICE CHANGE,PERCENTAGE CHANGE,SHORT %
USDJPY,15m,2024-09-04 16:45:00,144.3070,-0.0401775,2024-09-04 19:00:00,144.0070,0.0008682,-0.3000,-0.21%,34.00%
USDJPY,60m,2024-09-04 09:00:00,145.2060,-0.0089493,2024-09-04 19:00:00,144.0070,-0.0798946,-1.1990,-0.83%,34.00%
USDJPY,90m,2024-09-02 15:00:00,147.0110,0.0646880,2024-09-04 18:00:00,144.0070,-0.1246125,-3.0040,-2.04%,34.00%
EURUSD,15m,2024-09-04 18:30:00,1.1079,-0.0000911,2024-09-04 19:00:00,1.1073,-0.0001964,-0.0006,-0.06%,62.00%
EURUSD,60m,2024-09-04 15:00:00,1.1094,0.0002977,2024-09-04 19:00:00,1.1073,0.0002207,-0.0021,-0.19%,62.00%
EURUSD,90m,2024-09-02 19:30:00,1.1075,0.0003310,2024-09-04 18:00:00,1.1073,0.0003906,-0.0002,-0.02%,62.00%
GBPUSD,15m,2024-09-04 18:30:00,1.3141,-0.0001912,2024-09-04 19:00:00,1.3136,-0.0002705,-0.0005,-0.04%,90.00%
GBPUSD,60m,2024-09-04 15:00:00,1.3161,0.0005051,2024-09-04 19:00:00,1.3136,0.0002606,-0.0025,-0.19%,90.00%
GBPUSD,90m,2024-09-04 16:30:00,1.3150,0.0005653,2024-09-04 18:00:00,1.3136,0.0004988,-0.0014,-0.11%,90.00%
AUDUSD,15m,2024-09-04 18:30:00,0.6718,-0.0002146,2024-09-04 19:00:00,0.6715,-0.0002303,-0.0003,-0.04%,69.00%
AUDUSD,60m,2024-09-04 15:00:00,0.6738,0.0005499,2024-09-04 19:00:00,0.6715,0.0002068,-0.0023,-0.34%,69.00%
AUDUSD,90m,2024-09-04 13:30:00,0.6733,0.0004000,2024-09-04 18:00:00,0.6715,0.0003913,-0.0018,-0.27%,69.00%
USDCAD,15m,2024-09-04 18:45:00,1.3523,0.0001055,2024-09-04 19:00:00,1.3520,0.0001271,-0.0003,-0.03%,15.00%
USDCAD,60m,2024-09-04 09:00:00,1.3563,-0.0000608,2024-09-04 19:00:00,1.3520,-0.0004255,-0.0043,-0.32%,15.00%
USDCAD,90m,2024-09-04 12:00:00,1.3558,-0.0000525,2024-09-04 18:00:00,1.3520,-0.0005401,-0.0038,-0.28%,15.00%
