Ticker,Interval,LAST PEAK DATE,LAST PEAK PRICE,LAST PEAK MACD,RECENT PRICE DATE,RECENT PRICE,RECENT MACD,PRICE CHANGE,PERCENTAGE CHANGE,SHORT %
USDJPY,15m,2024-08-26 17:30:00,144.5700,0.0288862,2024-08-26 18:15:00,144.3880,-0.0054529,-0.1820,-0.13%,48.00%
USDJPY,60m,2024-08-26 06:00:00,144.0520,-0.0342213,2024-08-26 18:00:00,144.3880,0.1217944,0.3360,0.23%,48.00%
USDJPY,90m,2024-08-22 16:30:00,146.3250,0.1571932,2024-08-26 18:00:00,144.3880,0.0918193,-1.9370,-1.32%,48.00%
EURUSD,15m,2024-08-26 15:30:00,1.1179,0.0001557,2024-08-26 18:15:00,1.1178,0.0001480,-0.0001,-0.01%,87.00%
EURUSD,60m,2024-08-26 15:00:00,1.1179,-0.0003981,2024-08-26 18:00:00,1.1178,-0.0002622,-0.0001,-0.01%,87.00%
EURUSD,90m,2024-08-26 00:00:00,1.1202,0.0008235,2024-08-26 18:00:00,1.1178,-0.0002999,-0.0024,-0.21%,87.00%
GBPUSD,15m,2024-08-26 15:30:00,1.3207,0.0001386,2024-08-26 18:15:00,1.3205,0.0001372,-0.0002,-0.01%,93.00%
GBPUSD,60m,2024-08-26 15:00:00,1.3204,-0.0004348,2024-08-26 18:00:00,1.3205,-0.0003361,0.0001,0.01%,93.00%
GBPUSD,90m,2024-08-23 15:00:00,1.3221,0.0006112,2024-08-26 18:00:00,1.3205,-0.0004346,-0.0016,-0.12%,93.00%
AUDUSD,15m,2024-08-26 15:15:00,0.6785,0.0001333,2024-08-26 18:15:00,0.6785,0.0000845,-0.0000,-0.01%,88.00%
AUDUSD,60m,2024-08-26 15:00:00,0.6784,-0.0002191,2024-08-26 18:00:00,0.6785,-0.0001394,0.0001,0.01%,88.00%
AUDUSD,90m,2024-08-23 19:30:00,0.6797,0.0009689,2024-08-26 18:00:00,0.6785,-0.0001390,-0.0012,-0.18%,88.00%
USDCAD,15m,2024-08-26 16:15:00,1.3488,-0.0000689,2024-08-26 18:15:00,1.3468,-0.0000562,-0.0019,-0.14%,12.00%
USDCAD,60m,2024-08-26 16:00:00,1.3485,-0.0000274,2024-08-26 18:00:00,1.3469,-0.0001126,-0.0016,-0.12%,12.00%
USDCAD,90m,2024-08-22 21:00:00,1.3613,0.0004905,2024-08-26 18:00:00,1.3469,-0.0001387,-0.0144,-1.06%,12.00%
